MENUID,MENUTITLE,MENUPARENT,MENULEVEL,MENUORDER
2651,"Landing Page",1533,1,2
1254,"New Increment",1007,2,1
3281,Notification,1228,2,1
1713,"Payee Registration Details (Others)",1709,2,1
1416,"Generate Payslip",1498,2,1
2598,"Reset Password Debtor",1024,2,2
2057,"Journal Listing Details",1052,2,2
2209,"Update Debtor Information",1229,2,2
1685,"List of Vendor",1684,2,2
1718,"Bill Registration Form",1709,2,3
3404,Staff,3401,2,3
1008,"Role Configure",1003,2,4
1641,Integration,1543,2,5
2600,"Asset Verification Workflow",1547,2,5
1586,"Loan Profile Form",1130,2,5
1675,"Edit Overtime Claim Application",1136,2,5
1513,"Manual Journal",1052,2,6
2197,Payment,1229,2,6
1506,"Petty Cash Claim",1489,2,6
1597,"Project Detail",1543,2,6
1712,"Workflow Overtime Claim Application",1136,2,6
1330,Prefix,1003,2,7
1560,"New Initial V2",1007,2,7
2707,"Listing Posting to GL (Error)",1052,2,7
1821,"Voucher Registration Details",1709,2,7
1332,"Prefix (new)",1003,2,8
1977,"Payment Vendor",1228,2,8
2820,"View Investment Summary ",1404,2,8
2699,"Asset Cancellation For Approval",1547,2,8
1755,"Post Dated Cheque",1651,2,8
3043,"Transaction Report PTJ",1052,2,9
2447,"Advance Payment",1229,2,9
1824,"New Vendor",1684,2,9
1267,"Virement New",1007,2,10
1445,"Generate Bill",1404,2,10
2043,"Purchase Order Detail Completion",1684,2,10
1304,"Budget Code",1007,2,11
1734,"Bank Account Workflow",1019,2,11
1972,"Online Payment History",1228,2,11
1337,"New Initial",1007,2,12
1990,"Vendor Portal",1228,2,12
2481,"Request Petty Cash Details",1489,2,12
2659,"Refund UUM Plate",1651,2,13
1378,"Laporan Pengurusan Belanja",1007,2,14
1413,"Posting to TB Details",1052,2,14
1457,"Approval for Investment",1404,2,14
1646,"Adjustment Cost/Depreciation Workflow",1547,2,14
2661,"Agreement Details",1684,2,14
1382,"Laporan Peruntukan",1007,2,15
1898,"Upload Manual Journal",1052,2,15
2376,"Petty Cash Recoupment Details",1489,2,15
1198,"Monitoring Existing",1007,2,16
2769,"Tender/Quotation Details",1228,2,16
1483,"Approval for Withdrawal",1404,2,16
1878,"View Accrual",1404,2,16
1730,"Create New Return Cheque",1024,2,17
1627,Payslip,1130,2,17
2031,"Purchase Order Detail",1684,2,19
2083,"Work Progress Note Cancel Details",1684,2,20
1557,"Increment V2 Form",1007,2,21
1553,Profile,1547,2,21
1558,"Decrement V2 Form",1007,2,22
1559,"Virement V2 Form",1007,2,23
2902,"Write Off Workflow",1547,2,23
2074,"Vendor Assessment",1684,2,23
2098,"Budget In Advance",1007,2,24
1831,"Budget Listing",1007,2,25
2524,"Vendor Assessment WPN",1684,2,25
3301,"Register Information Spouse",1533,2,26
3305,"Register Information Children",1533,2,27
2165,"Budget / New In Advance",1007,2,28
2581,"Listing Budget",1007,2,30
2160,"Budget Advance Controlled",1007,2,31
2161,"Budget Advance Controlled Details",1007,2,32
3074,"Budget View",1007,2,33
1062,"invoice form",1061,3,1
1065,"Tag Sponsor to Student (Masri)",1064,3,1
1340,"New Allowance And Deduction",1854,3,1
1527,"Account Main",1526,3,1
1648,JPP,1641,3,1
1658,"1.Cover Letter Invoice",1657,3,1
1750,"Receipt Entry Data Listing",1748,3,1
1827,"New Purchase Order",2048,3,1
1842,"Statement of Account",1736,3,1
1970,"Payment Notification Letter",1969,3,1
2116,"Revenue Item",1040,3,1
2150,Listing,2149,3,1
2310,"New Application",2309,3,1
2352,"Monitoring By Account Code",1896,3,1
2358,"List of Knockoff",2357,3,1
2560,"Student Barring Information",2557,3,1
2723,"Tender Opening Detail",2826,3,1
3169,"Pre - Purchase Requisition List",3168,3,1
3464,Position,3463,3,1
1578,"Loan Type",1577,3,1
1603,Surat,1602,3,1
1076,"Process Data",1064,3,2
1195,"Instruction Information",1135,3,2
1216,Allowance,1051,3,2
1376,"EFT PROCESSING",1096,3,2
1449,"New Application",1494,3,2
1573,"Budget Planning",1574,3,2
1653,"New Cheque Registry",1655,3,2
1735,"Status Return Cheque",1747,3,2
1751,"Foreign Currency Data Listing",1748,3,2
1765,"2.Confirmation of Student Debt",1657,3,2
1766,"List of Breach Contract",2254,3,2
1825,"Vendor Detail",1922,3,2
1973,"Budget Report Listing",1966,3,2
1979,"PTJ VOT Information",1969,3,2
2129,"Revenue Item Form",1040,3,2
2311,"List of Refund Application",2309,3,2
2353,"Monitoring By Payee",1896,3,2
2359,"Knockoff Details",2357,3,2
2401,"Asset Registration List",1668,3,2
2416,"Report Voucher Panjar Wang Runcit",1880,3,2
2720,"Activity Recoupment Details",1097,3,2
2803,"Cancel Application",2149,3,2
2958,Information,2947,3,2
3171,"Pre - Purchase Requisition Details",3168,3,2
3271,"Transfer Form",3269,3,2
3405,Siberhutang,3403,3,2
3444,Profile,3442,3,2
1589,"Loan Type Category",1577,3,2
1614,"New Application / Computer & Smart Phone",1616,3,2
3186,"List of Schedule",1602,3,2
1077,"Generate Invoice",1064,3,3
1183,"Emergency Fund",1097,3,3
1219,"Statutory Information",1051,3,3
1370,"EFT Preparation",1096,3,3
1473,"List of Investment - Draft",1494,3,3
1572,"Planning Listing",1574,3,3
1752,"Card Info Data Listing",1748,3,3
1768,"3.Student Sponsorship Status",1657,3,3
1772,"List Of Cheque Return",1747,3,3
1792,"Voucher Listing Detail",1818,3,3
2109,"Bill Cancellation @ Knockoff Form",2377,3,3
2162,"New Application",2149,3,3
2329,"Trial Balance",1950,3,3
2340,"Tender Opening Detail",2332,3,3
2385,"Offline Receipt Application Approval",1047,3,3
2617,"Procurement Management",1938,3,3
2645,"Workflow TP1 Application",2592,3,3
2662,"Listing Payment In Advance",2357,3,3
2873,"Delete/Active & Inactive Schedule BOC",2254,3,3
2914,"New Application Workflow",2867,3,3
2959,"List of Upload DCA",2947,3,3
3210,"AG Rate Details",3197,3,3
3215,"PRE - PR To Be Cancel List",3168,3,3
3415,"Bil Belum Bayar",3403,3,3
1596,"Item Status",1577,3,3
2379,"Ledger (Old)",2378,3,3
3193,"List of Loan Accrual (Posting)",1602,3,3
2126,"Invoice Details",2145,3,3
